imdb_id,Domestic
tt0114709,223225679.0
tt0113497,100499940.0
tt0113228,71518503.0
tt0114885,67052156.0
tt0113277,67436818.0
tt0114319,53672080.0
tt0114576,20350171.0
tt0113189,106429941.0
tt0112346,60079496.0
tt0112896,10772144.0
tt0113987,13681765.0
tt0112760,10017322.0
tt0112641,42512375.0
tt0114388,43182776.0
tt0113101,4257354.0
tt0112281,108385533.0
tt0113845,35431113.0
tt0113161,72101622.0
tt0112722,32051917.0
tt0112401,30303072.0
tt0113627,32029928.0
tt0114011,27112329.0
tt0112682,1738611.0
tt0112792,84919401.0
tt0114746,57141459.0
tt0112431,63658910.0
tt0112818,39363635.0
tt0112697,56631572.0
tt0112819,24147179.0
tt0113855,70454098.0
tt0114681,21284514.0
tt0113347,23600020.0
tt0114369,100125643.0
tt0114148,141579773.0
tt0114814,23341568.0
tt0113819,6468498.0
tt0116260,26877589.0
tt0113862,82569971.0
tt0116126,20109115.0
tt0115683,13427615.0
tt0116839,2409225.0
tt0113118,27467564.0
tt0116367,25836616.0
tt0113010,11534477.0
tt0115676,2042530.0
tt0114367,5711695.0
tt0116731,22754725.0
tt0114660,529766.0
tt0118158,10292300.0
tt0113972,8175346.0
tt0117002,5707094.0
tt0114825,19751736.0
tt0115759,70770147.0
tt0113247,280859.0
tt0115734,560069.0
tt0116483,38824099.0
tt0112579,71516617.0
tt0117110,34327391.0
tt0112573,75609945.0
tt0075314,28262574.0
tt0113326,32392047.0
tt0115645,8797839.0
tt0116606,2420162.0
tt0114536,3150170.0
tt0103859,70052444.0
tt0116324,14702438.0
tt0113451,9851610.0
tt0115685,124060553.0
tt0112442,65807024.0
tt0112461,2381087.0
tt0112427,259724.0
tt0112384,173837933.0
tt0114287,31596911.0
tt0112462,184069126.0
tt0112495,5750110.0
tt0112541,1268636.0
tt0109370,163971.0
tt0112642,100328194.0
tt0112688,13071518.0
tt0112715,81022101.0
tt0112740,91387195.0
tt0112851,25405445.0
tt0112857,16140822.0
tt0112864,100012499.0
tt0113071,37600435.0
tt0113114,30077111.0
tt0113243,7563728.0
tt0113481,19075720.0
tt0113492,34693481.0
tt0113540,7412216.0
tt0113677,1111790.0
tt0113749,2122561.0
tt0113820,38187431.0
tt0113957,50727965.0
tt0114095,472370.0
tt0114194,16115878.0
tt0114345,10382407.0
tt0114436,20350754.0
tt0114478,8367636.0
tt0114508,60074103.0
tt0114558,7959291.0
tt0114666,5772529.0
tt0114663,7027517.0
tt0114781,50024083.0
tt0114887,50008143.0
tt0114898,88246220.0
tt0114938,2193982.0
tt0111579,2302338.0
tt0112471,5535405.0
tt0112508,25588734.0
tt0112571,23440188.0
tt0109445,3151130.0
tt0112883,22150451.0
tt0109635,83015089.0
tt0109676,28735315.0
tt0109686,127175374.0
tt0109759,4221036.0
tt0109707,5887457.0
tt0113198,35348597.0
tt0113303,12201255.0
tt0110057,7830611.0
tt0110005,3049135.0
tt0110066,26325256.0
tt0110006,17689177.0
tt0113360,6609661.0
tt0110099,26381221.0
tt0110148,105264608.0
tt0113463,2473668.0
tt0110216,36763355.0
tt0076759,460998507.0
tt0110367,50083616.0
tt0103994,21665468.0
tt0110322,66638883.0
tt0110391,18272894.0
tt0113691,7603766.0
tt0109836,22006296.0
tt0110638,33683817.0
tt0110632,50282766.0
tt0114069,67659560.0
tt0110413,19501238.0
tt0114113,2832826.0
tt0110912,107928762.0
tt0105652,152322.0
tt0110932,24822619.0
tt0114214,18636537.0
tt0114296,12096881.0
tt0110907,11300653.0
tt0111333,9771658.0
tt0111255,57362582.0
tt0111282,71567262.0
tt0111070,145539357.0
tt0111161,28699976.0
tt0114614,4064495.0
tt0114608,21089146.0
tt0111280,75671125.0
tt0114609,11837928.0
tt0114852,9418365.0
tt0108550,10032765.0
tt0114857,24047675.0
tt0114924,81057016.0
tt0110598,15119639.0
tt0109040,72217396.0
tt0104779,1862805.0
tt0109444,122187717.0
tt0109446,92115211.0
tt0109506,50693129.0
tt0109813,130531208.0
tt0109830,330455270.0
tt0109831,52700832.0
tt0110093,30806194.0
tt0110167,37939757.0
tt0110357,422783777.0
tt0107426,4858139.0
tt0111686,18090181.0
tt0110475,119938730.0
tt0110478,101631272.0
tt0110622,51132598.0
tt0110771,38824341.0
tt0110950,20982557.0
tt0105226,2502551.0
tt0110989,38087756.0
tt0110997,46816343.0
tt0111257,121248145.0
tt0111438,44853581.0
tt0111503,146282411.0
tt0111742,65002597.0
tt0111756,25052000.0
tt0110399,29392418.0
tt0110186,20851521.0
tt0111301,33423521.0
tt0110027,12303080.0
tt0113409,8924549.0
tt0106220,48919043.0
tt0106226,32255440.0
tt0109067,21011318.0
tt0106292,20208496.0
tt0109254,42614912.0
tt0109297,16696219.0
tt0109303,30156002.0
tt0106452,428868.0
tt0106489,17287898.0
tt0106505,2570550.0
tt0106519,36948322.0
tt0109439,43622150.0
tt0106582,84049211.0
tt0106598,21274717.0
tt0109456,19726050.0
tt0106660,23671.0
tt0106673,63270710.0
tt0106677,7993039.0
tt0106697,58055768.0
tt0109783,3134381.0
tt0106941,11146270.0
tt0106918,158348367.0
tt0106965,77698625.0
tt0106977,183875760.0
tt0107004,18635620.0
tt0107076,32589677.0
tt0107096,5864949.0
tt0107144,38922972.0
tt0107151,6265311.0
tt0110074,2816518.0
tt0107206,102314823.0
tt0107207,25096862.0
tt0108551,39100956.0
tt0107286,12526677.0
tt0107290,404214720.0
tt0107302,2395231.0
tt0110265,418961.0
tt0107322,1214231.0
tt0107362,50016394.0
tt0107413,12440858.0
tt0107507,11330911.0
tt0107554,27912072.0
tt0116253,56569216.0
tt0107616,22549338.0
tt0107614,219195243.0
tt0110657,8914777.0
tt0110678,15339030.0
tt0107756,5377643.0
tt0107808,31130999.0
tt0107818,77446440.0
tt0107822,40157856.0
tt0107840,27515786.0
tt0110955,11439193.0
tt0107943,23237911.0
tt0110971,24332324.0
tt0107969,63179523.0
tt0107978,10696210.0
tt0107977,35739755.0
tt0107983,3275585.0
tt0108000,1001437.0
tt0108002,22881563.0
tt0108052,96898818.0
tt0111127,7820688.0
tt0111143,32063435.0
tt0108101,25842377.0
tt0108160,126808165.0
tt0108162,36300000.0
tt0083658,32868943.0
tt0108174,11585483.0
tt0108255,20915465.0
tt0111323,7727256.0
tt0111400,16487349.0
tt0107688,77368668.0
tt0108333,53898845.0
tt0108358,56505065.0
tt0108399,12281551.0
tt0110763,13670688.0
tt0114906,4569019.0
tt0099785,285761243.0
tt0099653,217631306.0
tt0103639,217350219.0
tt0103064,205881154.0
tt0099348,184208848.0
tt0096895,251348343.0
tt0102926,130742922.0
tt0029583,184925486.0
tt0101414,218967620.0
tt0032910,84254167.0
tt0100405,178406268.0
tt0065214,638641.0
tt0116282,24611975.0
tt0082509,546545.0
tt0116514,9336886.0
tt0117283,5656388.0
tt0065421,35452658.0
tt0118001,1141556.0
tt0117891,34767836.0
tt0117381,56116183.0
tt0117608,30356793.0
tt0116414,4939939.0
tt0116095,17100266.0
tt0115956,59031057.0
tt0117060,180981856.0
tt0116136,51367375.0
tt0116168,31387164.0
tt0116683,28946127.0
tt0116269,2104439.0
tt0117705,90418342.0
tt0117104,10082005.0
tt0117420,21686547.0
tt0095776,74151346.0
tt0116322,20080020.0
tt0112817,1037847.0
tt0113362,1320043.0
tt0117108,21075014.0
tt0115963,24819936.0
tt0116508,5009305.0
tt0117260,3718087.0
tt0117500,134069511.0
tt0117998,241721524.0
tt0113568,889074.0
tt0117723,26960191.0
tt0117768,2491989.0
tt0115571,14063331.0
tt0057012,9440272.0
tt0117331,17323326.0
tt0117765,33109743.0
tt0116669,58620973.0
tt0117951,16491080.0
tt0116629,306169268.0
tt0116277,18626419.0
tt0116583,100138851.0
tt0115798,60240295.0
tt0116778,25023434.0
tt0116213,101295562.0
tt0117218,128814019.0
tt0116040,33023469.0
tt0116365,16759216.0
tt0116905,12408986.0
tt0117333,104636382.0
tt0117628,9538948.0
tt0117913,108766007.0
tt0115493,11829959.0
tt0116320,17193231.0
tt0116756,18937262.0
tt0116823,8315693.0
tt0116707,4619014.0
tt0116313,105489203.0
tt0117438,136492681.0
tt0115857,21226204.0
tt0117008,33459416.0
tt0116191,22231658.0
tt0115986,17917287.0
tt0117826,5781045.0
tt0117718,12658486.0
tt0116225,25477365.0
tt0115632,3011195.0
tt0117918,53854588.0
tt0068646,134966411.0
tt0104558,16270600.0
tt0116985,502313.0
tt0115736,3802260.0
tt0119214,19745922.0
tt0120004,33956608.0
tt0116654,27663982.0
tt0115783,21576954.0
tt0113253,15116634.0
tt0045152,1826108.0
tt0043278,267824.0
tt0052357,7705225.0
tt0047396,36764313.0
tt0053604,18600000.0
tt0034583,4108411.0
tt0058385,72560711.0
tt0037059,403521.0
tt0032138,24438411.0
tt0031381,200852579.0
tt0043014,299645.0
tt0033467,1585634.0
tt0062622,60405931.0
tt0042192,63463.0
tt0050105,3850000.0
tt0049261,32855818.0
tt0048960,42000000.0
tt0038650,44000.0
tt0031679,144738.0
tt0063350,236452.0
tt0116329,25143818.0
tt0116442,660313.0
tt0117011,14502483.0
tt0117039,11092559.0
tt0116830,18115927.0
tt0117603,36461139.0
tt0115994,49620.0
tt0116259,17380126.0
tt0116421,20351264.0
tt0115862,14551359.0
tt0054357,40356000.0
tt0106611,68856263.0
tt0109127,50236831.0
tt0042332,93141149.0
tt0057546,12000000.0
tt0102798,165493908.0
tt0058331,102272727.0
tt0082406,63456988.0
tt0059742,159287539.0
tt0095016,83844093.0
tt0104692,32100816.0
tt0117589,13417292.0
tt0117887,25857416.0
tt0117791,2021348.0
tt0116908,33447612.0
tt0116409,38619405.0
tt0116404,5754249.0
tt0120107,2312463.0
tt0116722,409144.0
tt0117509,46351345.0
tt0117802,4555020.0
tt0117665,53315285.0
tt0067992,526633.0
tt0070707,18344729.0
tt0095159,62493712.0
tt0079470,20206622.0
tt0084865,28215453.0
tt0046912,12562.0
tt0092890,64577242.0
tt0105236,2832029.0
tt0091763,138530565.0
tt0098627,30218387.0
tt0103772,117727224.0
tt0101761,34416893.0
tt0104036,62548947.0
tt0104348,10725228.0
tt0084707,30036000.0
tt0083866,435110554.0
tt0099371,82670733.0
tt0092099,180258178.0
tt0048545,199963.0
tt0115580,12844057.0
tt0116378,1227324.0
tt0117318,20300385.0
tt0082846,119285432.0
tt0072081,41833347.0
tt0101775,13878334.0
tt0096754,54461047.0
tt0080749,21448782.0
tt0082340,25244626.0
tt0082533,17985893.0
tt0081375,69847348.0
tt0071853,1827696.0
tt0115610,1055525.0
tt0095765,12397210.0
tt0097108,7724701.0
tt0101700,1794187.0
tt0116209,78676425.0
tt0097937,14743391.0
tt0105107,4814619.0
tt0105488,11738022.0
tt0100332,3905297.0
tt0073486,108981275.0
tt0080684,292753960.0
tt0093779,30857814.0
tt0082971,248159971.0
tt0090605,85160248.0
tt0060196,25100000.0
tt0056172,45306425.0
tt0066921,26589355.0
tt0056592,592237.0
tt0078788,83471511.0
tt0064116,5321508.0
tt0086190,309306177.0
tt0093191,3333969.0
tt0099685,46836214.0
tt0078748,81900459.0
tt0106308,11502976.0
tt0089881,4135750.0
tt0054215,32000000.0
tt0080455,57229890.0
tt0071562,47834595.0
tt0093058,46357676.0
tt0097499,10161099.0
tt0086879,51973029.0
tt0087843,5321508.0
tt0081398,23383987.0
tt0075686,38251425.0
tt0086197,21192102.0
tt0082096,11487676.0
tt0070735,156000000.0
tt0088247,38371200.0
tt0103873,242623.0
tt0097441,26979166.0
tt0079522,39946780.0
tt0100150,5080409.0
tt0097165,95860116.0
tt0061722,104945305.0
tt0052311,2247465.0
tt0100263,5017971.0
tt0050212,27200000.0
tt0071315,29200000.0
tt0040897,5014000.0
tt0081505,45332952.0
tt0092005,52287414.0
tt0092991,5923044.0
tt0077416,48979328.0
tt0107048,71107962.0
tt0105695,101157447.0
tt0056218,2757256.0
tt0088763,211406762.0
tt0101921,82418501.0
tt0066206,61749765.0
tt0094625,553171.0
tt0091203,5900000.0
tt0072431,86273333.0
tt0102536,2015810.0
tt0032455,76408097.0
tt0097493,1108462.0
tt0052618,74422622.0
tt0088258,4736202.0
tt0097576,197171806.0
tt0083987,52767889.0
tt0096332,10006806.0
tt0091867,20966644.0
tt0089886,12952019.0
tt0084503,22244207.0
tt0087553,34700291.0
tt0097351,64431625.0
tt0064115,102308889.0
tt0087884,2181987.0
tt0098635,93075866.0
tt0103644,55473545.0
tt0082010,30565292.0
tt0083550,12534817.0
tt0103874,82522790.0
tt0103919,25792310.0
tt0101540,79091969.0
tt0074285,33800000.0
tt0087800,25504513.0
tt0075005,60922980.0
tt0115710,1094668.0
tt0117057,41083864.0
tt0117731,92027888.0
tt0117631,35892330.0
tt0117666,24444121.0
tt0116705,60592389.0
tt0117372,48102795.0
tt0117477,1979768.0
tt0115988,7343114.0
tt0115433,136189294.0
tt0099423,117540947.0
tt0079945,82604699.0
tt0102975,74888996.0
tt0098382,52210049.0
tt0084726,78912963.0
tt0088170,76471046.0
tt0092007,109713132.0
tt0103776,162902340.0
tt0096487,45661556.0
tt0100994,44143410.0
tt0077631,190071103.0
tt0084021,15171476.0
tt0100114,46044396.0
tt0105690,83563139.0
tt0073195,260758300.0
tt0077766,81766007.0
tt0085750,45517055.0
tt0116996,37771017.0
tt0115906,285112.0
tt0116695,153952592.0
tt0093822,22847564.0
tt0116999,12803305.0
tt0116410,13323144.0
tt0115641,63118386.0
tt0117571,103046663.0
tt0104691,75505856.0
tt0116250,50047179.0
tt0119731,25804707.0
tt0119115,9381260.0
tt0120390,11538235.0
tt0119664,32000301.0
tt0118928,67127760.0
tt0119937,589304.0
tt0116790,5770254.0
tt0118691,11486880.0
tt0119141,29481428.0
tt0118548,50068310.0
tt0120434,36400360.0
tt0116922,3675201.0
tt0120036,13130349.0
tt0119008,41909762.0
tt0118859,1568258.0
tt0119432,59927618.0
tt0116743,4109095.0
tt0119951,41230799.0
tt0119572,12479335.0
tt0120053,61363304.0
tt0120152,2372903.0
tt0119528,181410615.0
tt0120094,35281794.0
tt0118972,42868348.0
tt0118829,3566637.0
tt0120389,8363899.0
tt0118623,858553.0
tt0119013,11438337.0
tt0118615,65885767.0
tt0119229,28084357.0
tt0118541,3602884.0
tt0120461,49323468.0
tt0118655,53883989.0
tt0118771,50159144.0
tt0119109,28598376.0
tt0119116,63820180.0
tt0119578,2977807.0
tt0119567,229086679.0
tt0118787,10113400.0
tt0118880,101117573.0
tt0120179,48608066.0
tt0118688,107353792.0
tt0119282,99112101.0
tt0119738,127120029.0
tt0057345,903986.0
tt0119094,112276146.0
tt0119654,250690539.0
tt0120133,8345056.0
tt0118884,100920329.0
tt0119173,48169156.0
tt0082198,39565475.0
tt0119190,105263257.0
tt0118887,44862187.0
tt0119081,26673242.0
tt0120177,54870175.0
tt0118570,23144499.0
tt0119896,31407873.0
tt0118883,75982834.0
tt0120207,1710972.0
tt0119675,25480490.0
tt0118571,172956409.0
tt0118531,5727130.0
tt0099810,122012643.0
tt0102494,6401336.0
tt0119465,1918497.0
tt0119874,41263140.0
tt0119488,64616940.0
tt0120102,37957682.0
tt0119468,60527873.0
tt0120524,15738769.0
tt0119174,48323648.0
tt0119123,16228448.0
tt0120399,6682098.0
tt0119349,8038061.0
tt0118842,12021272.0
tt0119164,45950122.0
tt0119345,72586134.0
tt0118971,60944660.0
tt0119906,4166918.0
tt0119324,626057.0
tt0119177,12532777.0
tt0119210,6492660.0
tt0083131,85297000.0
tt0118689,45319423.0
tt0119592,10541523.0
tt0119832,2642983.0
tt0120490,334319.0
tt0119978,45916769.0
tt0118749,26400640.0
tt0090329,68706993.0
tt0120201,54814377.0
tt0107282,32901136.0
tt0120148,11841544.0
tt0119707,35927406.0
tt0120382,125618201.0
tt0119994,22459274.0
tt0119395,54930280.0
tt0118617,58406347.0
tt0120483,13717039.0
tt0118583,47795658.0
tt0118607,44229441.0
tt0118632,19868354.0
tt0118954,10686841.0
tt0119137,92977226.0
tt0119142,31642995.0
tt0119217,138433435.0
tt0119303,30882515.0
tt0119668,25105255.0
tt0119715,61917389.0
tt0120082,101363301.0
tt0120255,3263585.0
tt0120338,659363944.0
tt0120347,125304276.0
tt0119925,17626234.0
tt0119314,75383563.0
tt0119396,39673162.0
tt0119485,5684789.0
tt0119718,21437192.0
tt0118715,18034458.0
tt0119223,26420672.0
tt0120885,43061945.0
tt0118929,14378331.0
tt0120696,19870567.0
tt0120693,17460020.0
tt0119099,25232289.0
tt0120122,375261.0
tt0120185,29342592.0
tt0118956,11203026.0
tt0120008,19204929.0
tt0119784,125397.0
tt0118747,14051384.0
tt0120888,80245725.0
tt0120184,37020277.0
tt0119822,148478011.0
tt0120873,57167405.0
tt0120744,56968902.0
tt0120769,10452012.0
tt0120890,30147739.0
tt0119942,39001187.0
tt0124179,2057193.0
tt0119560,222099.0
tt0120772,29187243.0
tt0120645,4356216.0
tt0119905,23047939.0
tt0120738,69117629.0
tt0120749,32935289.0
tt0120176,9593903.0
tt0120632,78685114.0
tt0120728,3020601.0
tt0124718,21567853.0
tt0119196,1677131.0
tt0120906,2087471.0
tt0118577,45779.0
tt0117786,12716953.0
tt0120841,19221939.0
tt0120609,27007143.0
tt0120610,12951088.0
tt0120647,140464664.0
tt0120531,8064972.0
tt0119506,106404.0
tt0120800,22510798.0
tt0120685,136314294.0
tt0118798,26528185.0
tt0120669,10680275.0
tt0120777,5881367.0
tt0119053,6136856.0
tt0119313,60053195.0
tt0120787,67638368.0
tt0120828,74339294.0
tt0127723,25605015.0
tt0118849,933933.0
tt0120762,120620254.0
tt0120902,83898313.0
tt0118998,144156605.0
tt0120780,37562568.0
tt0118789,2375097.0
tt0120591,201578182.0
tt0122151,130444603.0
tt0122718,54682547.0
tt0138704,3221152.0
tt0129387,176484651.0
tt0036868,23650000.0
tt0044672,36000000.0
tt0045793,36416.0
tt0055614,44055492.0
tt0064665,44785053.0
tt0067116,51700000.0
tt0075148,117235147.0
tt0079417,106260000.0
tt0081283,54766923.0
tt0082158,58972904.0
tt0086425,108423489.0
tt0089755,87071205.0
tt0093389,43984230.0
tt0095953,172825435.0
tt0097239,106593296.0
tt0087995,129000.0
tt0100142,2960492.0
tt0091369,13723253.0
tt0088847,45875171.0
tt0089686,29999213.0
tt0093629,44793222.0
tt0095742,49369899.0
tt0097981,22168359.0
tt0101917,34872033.0
tt0080761,39754601.0
tt0082418,21722776.0
tt0083972,36690067.0
tt0087298,32980880.0
tt0089173,21930418.0
tt0091080,19472057.0
tt0095179,19170001.0
tt0097388,14343976.0
tt0077651,47160000.0
tt0082495,25533818.0
tt0085636,14400000.0
tt0095271,17768757.0
tt0097474,11642254.0
tt0081383,14796236.0
tt0094862,33244684.0
tt0099253,28501605.0
tt0103956,14960255.0
tt0084516,77142388.0
