id,keywordTot_AveRating,genreTot_RankedAveRating
862,6.378345553047878,5.9134364450768215
8844,6.0784603026534,5.739320466926407
15602,6.144336854460092,5.756751778891293
31357,5.532416343815482,5.803492162933484
11862,6.111530477746098,5.712745098039295
949,6.2407610150489585,5.746877239051879
11860,6.195495674506623,5.756751778891293
45325,,5.731733500332554
9091,5.782584947178666,5.634402141810231
710,6.229687921065862,5.634402141810231
9087,6.212068872304167,5.803492162933484
12110,5.712527783390583,5.469700941990206
21032,6.502868716931218,5.905746253399671
10858,6.311457820288506,6.034225902128657
1408,6.171312849269967,5.64043540493856
524,6.192106885178314,5.886988526892335
4584,6.443561644774047,5.848865695380578
5,5.970796234138843,5.794874610403049
9273,6.010858974358975,5.7598079146046475
11517,6.192589672692899,5.726981835891792
8012,6.042188541536318,5.737361612119891
1710,6.13648617795878,5.759654273285719
9691,6.132338237428851,5.695052637049374
12665,5.9923533532519695,5.662118247218847
451,6.512990112797182,5.848865695380578
16420,6.094314377458414,5.896972931017865
9263,6.233487787121338,5.786269429830797
17015,6.191370967741935,5.848865695380578
902,6.288516232046131,5.606279655103932
37557,6.141758765044479,5.886988526892335
9909,6.074284741640146,5.886988526892335
63,6.127663112912691,5.59962156844783
78802,,5.745216491375568
9598,5.825347479275111,5.7845012267071345
47018,6.230094303227149,5.956403421333536
687,6.552419988855927,5.896972931017865
139405,,5.876804146925098
33689,6.572018348623853,5.75419793940594
9603,6.062219550266847,5.803492162933484
34615,5.837500000000001,5.896972931017865
31174,5.982369659564932,5.972053107355549
11443,6.183123861566485,5.8841630534733484
35196,6.4011842244038855,5.848865695380578
9312,5.652068268830098,5.68519645210271
577,6.160117858006264,5.752812565486719
11861,6.244885944619424,5.848865695380578
807,6.654172368638363,5.775300334380829
10530,6.320115383188106,5.90355292280422
8391,5.992962892209802,5.848865695380578
629,6.368705057939718,5.798770889779413
117164,,5.703501611146905
11448,6.20716991345998,5.756751778891293
49133,5.7851716961498445,5.829991645277369
26441,5.868637040457736,5.685676542087911
97406,6.1291560850910285,5.896972931017865
124057,,
9089,6.219877891821437,5.803492162933484
11010,6.110196981878905,5.803492162933484
99040,,5.781956603797851
11359,6.116389578163772,5.739320466926407
17182,6.075560109289615,5.759654273285719
2054,6.242302751791101,5.840477853941153
10607,6.174386879686286,5.712745098039295
19760,5.876356909776157,5.756751778891293
9536,6.197058823529413,5.712745098039295
11525,5.927172488412996,5.470582055918541
40628,,5.823031595726549
4482,6.111640916808145,5.756751778891293
10634,5.958026785714285,5.712745098039295
755,6.095915439470717,5.579298202782692
11859,5.841296700878874,5.6714301207220466
28387,5.442331288343555,5.803492162933484
48750,6.0837486148617534,6.034225902128657
20927,5.954652777777778,5.848865695380578
36929,6.15945945945946,5.730917679237264
9102,6.009857978279032,5.288312305454463
124626,,5.82252568278624
27526,6.100349789278257,5.759654273285719
9623,6.339970890314045,5.759654273285719
46785,6.497032283577797,5.823031595726549
400,6.1064439564209305,5.886988526892335
880,6.426182072060072,5.80485901452858
146599,6.110446635696178,5.848865695380578
188588,,
8447,6.018977942347506,5.848865695380578
10534,6.2248344797026,5.74408460894357
17414,5.990825854156043,5.717169960494124
13997,6.038337287364165,5.712745098039295
2086,6.294769098288941,5.798770889779413
61548,,5.896972931017865
9095,5.878248188720803,5.636680948063962
12158,5.710444444444445,5.580053447907901
9283,5.814285714285714,5.803492162933484
9208,5.816069939420089,5.700044839112139
40154,5.976763525722789,5.712745098039295
406,6.266457437797751,5.896972931017865
45549,,5.630029436283272
63076,5.974341652347051,5.82252568278624
11062,6.166539326964491,5.759654273285719
13685,6.1187489748116555,5.828907383941321
47475,,5.756751778891293
2045,5.755756375135817,5.6739594090903385
9614,6.280799688510379,5.712745098039295
688,6.550179017889904,5.848865695380578
11907,5.991055612448082,5.786269429830797
10874,5.995339019210923,5.723615307744402
89333,,5.82252568278624
96357,5.856097560975608,5.877004122766804
197,6.548129668534081,5.926695343704955
103,6.367857210128225,5.886988526892335
33542,6.060027142970019,5.700820280807236
43566,,5.759654273285719
71754,6.515416666666667,5.896972931017865
43612,5.9381915694886125,5.712745098039295
51352,6.421109576631029,5.827502991113659
16934,6.159659773586993,5.828907383941321
10324,5.76836561892755,5.756751778891293
78406,6.040481704260651,5.80485901452858
55731,6.164169426054486,5.727935819873902
32119,,5.896972931017865
11066,5.962195423623994,5.756751778891293
11104,6.556934611333345,5.803492162933484
37975,,5.848865695380578
2074,5.851084590704128,5.756751778891293
27793,6.220352564102564,5.779196617336145
44284,5.69616129032256,5.896972931017865
290157,,
110972,,5.756751778891293
32622,5.740666493236202,5.80485901452858
73067,6.067101956555737,5.914954891484796
11863,5.8445261829149455,5.7102129067470635
55475,6.040017286084701,5.803492162933484
124636,,5.848948026578302
9101,5.904137780207763,5.712745098039295
123360,6.237578616352201,5.82252568278624
5757,6.086999387047985,5.712745098039295
39428,5.798830614080164,5.896972931017865
124639,,
9302,6.1511111111111125,5.848865695380578
11000,6.211177084611732,5.712745098039295
249882,6.5803174603174615,5.896972931017865
16388,5.816425071438099,5.803492162933484
9737,6.0471527892774875,5.700820280807236
30765,6.08058988764045,5.731733500332554
10474,6.032588990463293,5.886988526892335
22279,6.2769109425835135,5.803492162933484
30157,5.7851716961498445,5.777264441844383
568,6.216832134968167,5.896972931017865
11780,6.411087151841869,5.689674523007844
34996,6.00395556135038,5.561814858479492
414,6.060110823298281,5.749132342324074
649,6.215817571426325,5.848865695380578
1873,6.339881556683586,5.759654273285719
5894,6.458639727136085,5.712745098039295
1775,,5.651970692454285
8839,5.918056051019485,5.747010658603557
20649,5.968243203309693,5.86684610620226
10329,5.555892857142858,5.662784741039746
8963,6.3746253877163035,5.703501611146905
26564,6.285686116723167,5.82252568278624
8068,6.180227024652085,5.696845341729883
8512,6.2629105909608365,5.781956603797849
1572,6.144616781285789,5.606765951211424
13552,5.883577377393691,5.76947960967331
259209,,5.886988526892335
6520,5.981559068950373,5.7446505501595695
9073,6.10184126984127,5.689674523007844
10428,5.915599022975196,5.746877239051878
17447,6.193068082127071,5.803492162933484
9886,5.978426104467811,5.630029436283272
9482,5.793005431523626,5.349967824967806
19326,5.3820716267776625,5.80485901452858
9344,6.143452380952381,5.886988526892335
9071,6.273420991346771,5.80485901452858
8973,5.672639461923541,5.5585178887722675
15730,,5.80485901452858
47608,5.923454995540336,5.815607217065463
2293,6.1843328994533575,5.756751778891293
9070,5.658515218769817,5.63182510252326
68274,6.164786715730111,5.803492162933484
48787,6.02296215045031,5.692672987545222
34574,5.85892861813889,5.424496200747345
1642,6.047217060978323,5.762814044205927
11472,5.878732599711647,5.712745098039295
36196,6.052207250904925,5.712745098039295
11980,6.146521739130435,5.5427296729436115
58372,6.209359580592104,5.796304882131101
32646,6.285935679582613,5.896972931017865
10533,5.873230814409506,5.956403421333536
10802,5.430906284896076,5.896972931017865
10149,6.370545021933258,5.80485901452858
18402,6.033450239929436,5.712745098039295
9348,5.7364040084584245,5.389273632592734
139408,6.1330651091424935,5.896972931017865
281,6.098609767049353,5.686570123576511
5967,6.115595182260359,5.848865695380578
79593,,5.622335615553571
47939,6.095103523835778,5.838084774177005
36834,5.982012813399904,5.848865695380578
9090,6.2424677849482775,5.712745098039295
3512,6.074683307236499,5.606765951211424
